Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Land Surface Temperature,EN.LND.LTMP.DC,France,FRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.37311,15.6244649,17.3751291,18.3748867,16.8747142,17.1246352,17.1246135,16.1238189,16.123084,17.124841,16.3747837,18.3743655,16.3736171,16.6250071,17.624855,17.8757438,17.3742626,17.6254302,18.8742424,18.3745837,18.6245956,16.6256127,..
Land Surface Temperature,EN.LND.LTMP.DC,Gabon,GAB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26.0615205,25.7809765,25.59347,25.843234,25.6561817,25.3438621,25.5938263,25.7810687,25.4686697,25.7803211,25.9373037,25.4688607,25.3117302,25.7810534,25.9366302,25.5311716,25.9375401,26.1561037,25.9685987,26.1563026,26.405724,26.2184529,..
Land Surface Temperature,EN.LND.LTMP.DC,"Gambia, The",GMB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34.7801396,35.7810028,35.9064927,34.407839,33.8433797,34.4700895,34.2180362,35.3454581,34.0305185,34.7805907,33.9665237,34.407542,33.5947222,34.6582654,35.1588068,33.6555356,34.7781989,34.5936945,35.0942365,35.970614,35.2840419,34.7797449,..
Land Surface Temperature,EN.LND.LTMP.DC,Georgia,GEO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.3744658,15.1284275,14.6223611,14.126189,14.3723568,14.1255198,14.8763377,14.3752424,14.370785,14.6223095,17.374287,13.3722142,14.8739383,14.8755266,15.8759172,15.8732167,14.8746026,15.6196329,16.1220855,15.8705831,15.6243337,15.6243353,..
Land Surface Temperature,EN.LND.LTMP.DC,Germany,DEU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.0625583,12.4373675,13.5624502,14.937257,13.3119198,13.5620908,13.5632544,14.6247826,14.3124426,13.9376165,12.5621989,14.6881403,13.1865588,14.1867542,15.1878215,14.8116934,14.5623764,14.1873459,16.6872467,15.5622506,15.8123659,14.0623235,..
Land Surface Temperature,EN.LND.LTMP.DC,Ghana,GHA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31.1875787,32.6878207,31.1878565,31.0625655,29.9059513,30.5626234,31.3126521,31.0927134,31.0312705,30.9063062,31.0307031,31.0936849,30.5943083,31.593486,31.5937239,31.4383092,32.311566,32.1560902,31.8127522,33.0625769,32.9066438,32.594144,..
Land Surface Temperature,EN.LND.LTMP.DC,Greece,GRC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.5629104,22.3104819,21.4384597,21.9379449,21.1880242,21.0632371,20.9371087,22.4380295,22.0607694,21.4383019,21.8117631,21.3112466,22.4362074,22.1881622,21.8124133,21.5625869,21.9365611,22.06298,21.9376515,22.0630383,22.1860033,21.6866702,..
Land Surface Temperature,EN.LND.LTMP.DC,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24.7893782,25.4179059,25.1577479,25.3883333,25.4938889,26.0745479,25.5470675,25.2973052,25.3389482,25.2264144,26.0265333,24.8866825,25.3893358,25.9191612,25.658391,25.3377067,25.6560802,25.4225623,24.8328571,25.9670064,26.0313721,25.0317498,..
Land Surface Temperature,EN.LND.LTMP.DC,Guatemala,GTM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.0618127,27.3112961,27.311649,27.9371938,27.1875945,27.9355897,27.1860324,27.6863796,27.6858772,28.0615392,27.9373963,27.8119742,27.562577,28.3131642,27.5611111,27.9368243,28.1865345,28.0606957,27.9376479,28.560866,28.5616807,27.8121489,..
Land Surface Temperature,EN.LND.LTMP.DC,Guinea,GIN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30.2806659,31.0621722,30.718834,30.6559936,30.1556782,29.9690016,30.6559692,30.8436569,30.2187727,30.9693246,30.468971,30.4685422,30.0936615,31.3430992,30.9070852,30.2818475,31.5625578,30.7816747,31.5622781,31.9384386,31.6563552,31.3123838,..
